D4420;D4433;4U27;4U32;L4115;D4428
1108.4;1901.49;4.54;18.13;1.55;1151.41
1108.06;1906.69;4.55;21.22;1.55;1152.81
1121.2;1906.45;4.26;18.65;1.55;1150.37
1122.11;1932.75;4.12;17.68;1.55;1153.03
1119.75;1961.39;4.12;17.62;1.55;1153.09
1121.1;1952.77;4.12;17.63;1.56;1150.68
1124.09;1962.85;4.14;20.1;1.56;1149.01
1122.63;1956.01;4.14;20.33;1.56;1152.36
1132.61;1949.6;4.15;17.46;1.55;1154.46
1125.66;1962.54;4.14;17.43;1.55;1157.87
1119.25;1975.91;4.13;18.98;1.56;1157.47
1118;1985.93;4.14;19.26;1.56;1160.25
1113.91;1962.94;4.14;17.37;1.56;1158.98
1109.06;1964.51;4.14;17.37;1.55;1160.71
1112.06;1957.84;4.15;17.88;1.55;1160.21
1105.35;1959.28;4.15;20.15;1.55;1156.2
1102.94;1959.96;4.14;17.61;1.56;1157.85
1099.75;1955.41;4.15;16.56;1.54;1156.32
1097.87;1958.1;4.15;17.05;1.57;1157.5
1101.01;1926.1;4.15;18.61;1.55;1160.47
1104.05;1915.34;4.15;16.63;1.56;1159.32
1113.95;1921.09;4.14;16.6;1.57;1155.46
1120.68;1925.36;4.14;18.74;1.55;1152.81
1123.63;1925.16;4.15;18.12;1.57;1151.49
1118.86;1918.5;4.14;17.62;1.56;1151.33
1120.58;1938.94;4.14;17.5;1.55;1154.08
1122.59;1954.65;4.14;17.89;1.55;1156.34
1112.47;1963.59;4.14;19.7;1.56;1151.32
1110.14;1969.42;4.14;18.37;1.55;1155.36
1112.58;1978.06;4.15;15.62;1.55;1154.16
1104.71;1981.14;4.14;15.61;1.55;1153.42
1112.63;1992.46;4.15;17.95;1.55;1155.58
1114.74;1999.24;4.15;16.22;1.56;1156.5
1109.28;1993.77;4.15;15.06;1.55;1157.72
1106.71;1972.69;4.14;15.69;1.55;1156.2
1109.76;1955.14;4.15;18.4;1.57;1156.51
1125.92;1981.97;4.15;18.42;1.55;1159.36
1117.18;1974.41;4.14;16.55;1.57;1155.84
1105.74;1957.55;4.14;15.71;1.58;1153.9
1109.22;1970.71;4.15;17.7;1.56;1157.21
1116.95;1968.31;4.15;16.27;1.55;1158.64
1114.26;1961.95;4.15;15.37;1.55;1159.84
1114.38;1970.01;4.14;17.8;1.55;1161.69
1113.28;1985.12;4.14;18.31;1.57;1155.83
1124.99;1986.58;4.15;16.44;1.56;1158.07
1119.02;1972.87;4.15;16.43;1.56;1159.68
1117.29;1989.54;4.15;16.36;1.55;1163.39
1122.7;1983.52;4.16;16.93;1.55;1160.98
1116.58;1988.91;4.14;18.14;1.55;1163.18
1103.51;1991.92;4.38;15.29;1.55;1161.46
1100.45;1982.49;4.47;15.31;1.55;1163.55
1100.72;1972.9;4.48;17.79;1.56;1165.92
1113.8;1958.24;4.47;17.11;1.59;1164.67
1120.4;1953.35;4.47;16.42;1.56;1167.18
1113.55;1948.16;4.48;16.4;1.56;1162.08
1110.8;1939.81;4.48;17.07;1.56;1155.02
1107.56;1935.15;4.47;19.3;1.54;1152.31
1110.57;1929.28;4.48;17.4;1.54;1155.56
1113.03;1926.72;4.48;17.36;1.56;1160.04
1114.53;1919.56;4.46;17.35;1.55;1156.54
1118.04;1926.39;4.47;17.36;1.55;1155.62
1114.41;1950.86;4.46;17.38;1.56;1160.11
1109.7;1966.1;4.47;17.38;1.56;1163.44
1116.43;1963.67;4.46;17.41;1.55;1163.99
1129.21;1959.64;4.46;17.34;1.54;1168.21
1121.71;1952.22;4.46;17.35;1.55;1164.47
1119.38;1965.93;4.46;17.39;1.55;1162.07
1113.03;1975.25;4.48;16.7;1.55;1160.19
1113.45;1965.33;4.49;14;1.55;1163.44
1107.51;1960.2;4.49;15.75;1.56;1163.31
1104.48;1976.82;4.48;16.59;1.55;1161.44
1117.76;1978.26;4.49;16.59;1.54;1162.55
1116.25;1962.81;4.49;14.6;1.55;1158.94
1112.46;1941.01;4.5;16.15;1.56;1157.37
1116.11;1940.81;4.49;14.45;1.55;1161.4
1115.91;1923.64;4.48;16.06;1.56;1160.83
1110.62;1905.24;4.47;16.03;1.56;1157.16
1105.79;1905.16;4.47;16.13;1.56;1158.36
1097.72;1923.44;4.47;16.09;1.55;1156
1113.59;1912.81;4.47;18.04;1.55;1155.03
1110.43;1912.08;4.47;18.91;1.54;1157.15
1121.76;1915.01;4.48;16.64;1.55;1157.83
1127.7;1925.19;4.47;16.68;1.55;1154.83
1123.02;1916.12;4.46;17.34;1.55;1155.23
1114.72;1926.18;4.47;20.07;1.56;1156.56
1110.76;1931.47;4.47;18.28;1.57;1159.72
1113.28;1944.56;4.48;17;1.55;1157.86
1120.95;1954.59;4.47;15.22;1.55;1156.58
1116.96;1956.88;4.47;17.64;1.55;1156.89
1105.16;1956.68;4.46;17.97;1.55;1157.99
1104.1;1953.62;4.47;15.25;1.57;1159.42
1108.28;1951.2;4.46;15.95;1.56;1159.18
1103.64;1936.92;4.47;18.24;1.56;1161.08
1102.38;1954.22;4.47;16.5;1.55;1160.6
1102.57;1962.88;4.46;16.55;1.56;1159.09
1108.68;1945.34;4.48;18.19;1.54;1155.8
1117.6;1937.56;4.47;16.29;1.55;1156.46
1121.22;1949.8;4.47;15.64;1.55;1156.37
1125.33;1975.69;4.47;18.35;1.56;1157.33
1121.68;1969.29;4.46;16.26;1.58;1159.15
1116.64;1945.36;4.46;15.19;1.56;1159.31
1116.86;1952.05;4.46;17.76;1.55;1158.41
1119.22;1954.27;4.46;18.35;1.54;1155.58
1120.14;1961.4;4.47;16.21;1.55;1157.8
1121.08;1964.62;4.48;16.22;1.54;1155.99
1107.7;1941.19;4.48;16.14;1.54;1153.91
1101.03;1939.4;4.47;17.98;1.55;1157.98
1098.37;1953.53;4.48;16.36;1.55;1160.39
1103.93;1951.95;4.48;15.38;1.56;1158.97
1098.58;1926.96;4.48;17.78;1.57;1155.02
1105;1905.24;4.47;18.83;1.56;1157.57
1108.16;1887.69;4.47;17.13;1.57;1159.27
1117.94;1890.15;4.47;16.44;1.56;1161.82
1127.64;1906.59;4.47;18.69;1.54;1155.62
1114.06;1915.04;4.47;19.23;1.55;1159.31
1127.18;1929.11;4.46;17.52;1.54;1154.05
1119.8;1944.7;4.47;17.57;1.55;1151.06
1118.17;1939.61;4.46;17.48;1.56;1153.66
1120.07;1938.98;4.47;20.11;1.56;1155.05
1119.4;1930.73;4.46;18.52;1.55;1149.36
1126.89;1947.71;4.47;17.33;1.56;1152.39
1135.03;1967.4;4.47;17.37;1.55;1153.49
1129.87;1979.3;4.47;17.3;1.55;1154.12
1123.56;1993.81;4.46;17.35;1.57;1156.55
1125.92;2021.69;4.47;18.17;1.57;1156.3
1122.94;2008.68;4.47;18.76;1.57;1157.14
1123.48;1995.45;4.47;17.69;1.57;1156.51
1114.46;1997.07;4.48;17.67;1.57;1156.1
1104.74;2004.36;4.49;17.63;1.56;1158.82
1114.59;1984.09;4.48;17.64;1.56;1161.4
1114.36;1969.79;4.48;17.62;1.55;1163.72
1113.85;1981.91;4.49;17.6;1.55;1163.26
1117.09;1998.04;5.09;15.54;1.55;1164.67
1119.43;1981.52;5.35;16.08;1.55;1161.73
1117.42;1991.55;6.23;15;1.55;1159.19
1115.02;1983.09;6.6;14.88;1.55;1163.35
1115.86;1975.36;6.6;15.41;1.55;1166.65
1120.3;1964.45;6.58;17.29;1.55;1165.25
1120.64;1955.86;6.59;16.77;1.55;1164.62
1107.8;1955.91;6.6;14.91;1.55;1162.89
1103.9;1953.86;6.6;14.99;1.56;1164.86
1105.6;1959.38;6.59;15.47;1.56;1164.01
1108.4;1936.27;6.6;17.6;1.55;1161.06
1107.33;1906.33;6.58;17.2;1.56;1163.93
1114.71;1899.95;6.57;15.53;1.55;1163.47
1114.33;1880.1;6.56;15.63;1.56;1157.91
1104.53;1888.79;6.56;17.56;1.55;1153.78
1107.79;1899.11;6.57;18.44;1.55;1155.12
1108.55;1882.2;6.55;16.26;1.54;1153.59
1115.6;1879.96;6.42;16.1;1.54;1153.14
1108.22;1887.69;5.92;18.94;1.56;1153.75
1118.64;1906.68;5.7;18.13;1.56;1154.34
1122.98;1925.79;5.71;14.72;1.55;1153.77
1117.53;1931.76;5.72;17.37;1.58;1155.38
1121.88;1934.53;5.71;18.48;1.57;1155.26
1113.16;1959.15;5.71;18.46;1.57;1152.8
1119.97;1954.92;5.71;18.45;1.56;1153.48
1130.27;1952.24;5.71;18.56;1.56;1156.96
1133.36;1974.17;5.73;18.04;1.57;1153.11
1134.79;1982.34;5.73;15.9;1.57;1156.4
1125.16;1967.37;5.73;16.39;1.55;1159.31
1128.35;1979.85;5.73;18.65;1.55;1160.91
1125.38;1989.12;5.73;16.96;1.55;1156.26
1111.34;1998.51;5.73;16.25;1.56;1152.84
1102.03;1990.61;5.73;18.26;1.55;1157.62
1099.04;1971.03;5.73;18.4;1.54;1159.1
1103.24;1948.38;5.73;17.57;1.55;1158.04
1100.24;1941.6;5.73;16.56;1.54;1160.04
1092.77;1942;5.73;16.36;1.56;1156.67
1098.74;1924.78;5.73;18.66;1.55;1156.95
1106.95;1937.54;5.73;18.2;1.56;1159.11
1112.41;1934.6;5.73;16.49;1.55;1159.53
1121.26;1931.43;5.72;18.57;1.56;1157.34
1125.45;1934.54;5.73;19.01;1.58;1154.11
1118.69;1949.39;5.73;17.28;1.55;1154.81
1116.49;1948.12;5.73;17.21;1.54;1158.8
1126.63;1933.86;5.73;17.73;1.55;1161.16
1121.28;1940.71;5.72;18.76;1.55;1161.99
1127.66;1956.7;5.72;16.33;1.55;1156.84
1119.99;1957.06;5.73;17.18;1.55;1159.1
1124.16;1963.67;5.73;17.6;1.55;1160.05
1118.37;1975.63;5.73;16.09;1.55;1160.81
1113.32;1969.68;5.73;16.1;1.55;1166.43
1112.02;1961.81;5.73;18.66;1.57;1165.38
1109.73;1960.28;5.73;17.98;1.55;1161.9
1121.78;1974.85;5.73;15.32;1.55;1160.39
1122.97;1984.68;5.73;15.3;1.55;1162.12
1115.54;1980.39;5.74;15.37;1.55;1161.4
1117.31;1971.97;5.73;16;1.57;1159.59
1119.3;1965.98;5.73;18.26;1.56;1156.55
1111.53;1970.74;5.73;15.14;1.56;1159.08
1112.68;1968.58;5.72;15.21;1.56;1158.52
1120.58;1959.14;5.72;17.7;1.55;1158.68
1121.59;1955.75;5.74;16.09;1.55;1164.57
1122.43;1948.88;5.73;15.64;1.55;1162.41
1117.63;1950.24;5.73;18.43;1.57;1159.09
1118.1;1952.29;5.73;18.38;1.55;1158
1115.97;1968.54;5.73;16.03;1.55;1156.96
1109.3;1956.53;5.72;15.02;1.54;1163.49
1100.97;1922.48;5.73;16.66;1.58;1160.19
1116.07;1913.41;5.73;17.44;1.56;1160.82
1121.05;1908.49;5.73;17.4;1.56;1159.18
1122.01;1896.55;5.73;17.49;1.56;1153.96
1116.6;1897.24;5.73;17.53;1.55;1153.28
1117.06;1896.28;5.51;17.43;1.55;1155.03
1110.69;1905.31;5.42;17.39;1.55;1158.3
1115.25;1904.98;5.42;17.39;1.54;1153.51
1110.6;1904.76;4.91;17.41;1.55;1152.84
1111.14;1905.62;4.69;18.18;1.55;1151.9
1114.19;1905.9;4.27;21.14;1.55;1150.81
1121.85;1926.69;4.09;18.31;1.57;1151.4
1126.77;1948.39;4.08;17.64;1.55;1152.84
1132.64;1994.23;4.08;19.15;1.57;1152.58
1130.32;1996.26;4.08;17.09;1.57;1156.3
1124.78;1981.68;4.09;17.08;1.57;1161.48
1123.97;1989.06;4.07;17.06;1.56;1161.28
1124.4;2000.2;4.07;17.07;1.55;1159.36
1115.81;1988.28;4.08;17.03;1.55;1161.68
1117.44;2009.31;4.07;17.03;1.56;1161.55
1122.49;2006.2;4.14;18.72;1.55;1162.71
1119.3;1971.53;4.14;17.09;1.56;1159.86
1119.47;1949.7;4.14;17.64;1.58;1159.3
1117.73;1963.4;4.14;15.78;1.55;1161.92
1119.81;1971.78;4.13;15.67;1.56;1160.97
1119.35;1972.12;4.15;18.38;1.59;1157.86
1116.92;1964.15;4.15;18.38;1.56;1158.86
1124.97;1969.8;4.15;16.5;1.56;1159.6
1124.17;1977.26;4.14;15.78;1.55;1162.77
1122.59;1967.88;4.17;17.77;1.55;1162.8
1124.31;1972.01;4.16;17.92;1.56;1160.94
1122.3;1966.66;4.17;15.38;1.56;1159.75
1110.35;1973.39;4.16;15.43;1.55;1164.72
1112.55;1984.87;4.16;15.39;1.56;1162.57
1118.13;1977.38;4.17;15.38;1.56;1163.83
1120.8;1983.32;4.77;15.45;1.55;1162.95
1117.24;1974.54;5.02;15.41;1.55;1162.38
1116.67;1977.89;5.02;16.08;1.56;1165.33
1117.71;1973.7;5.02;18.72;1.55;1165.41
1111.24;1970.83;5.02;16.34;1.56;1164.84
1120.78;1962.65;5.01;15.3;1.55;1163.24
1115.95;1947.82;5.01;17.74;1.56;1163.04
1111.6;1953.32;5.01;16.32;1.55;1161.93
1115.71;1946.47;5.03;15.32;1.56;1159.79
1114.21;1954.49;5.02;17.77;1.55;1159.15
1113.12;1944.9;5.01;18.76;1.54;1160.71
1111.68;1938.08;5.02;16.54;1.55;1159.54
1123.3;1927.42;5.01;16.96;1.56;1161.36
1134.1;1928.67;5.01;15.66;1.55;1158.71
1124;1945.94;4.99;14.85;1.54;1160.62
1119.58;1964.62;5.01;17.3;1.57;1162.73
1120.27;1967.17;5.06;17.85;1.56;1158.26
1122;1967.37;5.06;15.05;1.55;1158.6
1116.04;1957.23;5.05;15.58;1.56;1161.18
1118.52;1954.84;5.05;18.49;1.55;1163.86
1111.64;1963.02;5.05;15.93;1.55;1164.19
1114.86;1947.82;5.05;14.82;1.55;1164.91
1111.2;1948.4;5.06;14.83;1.55;1162.93
1107.29;1929.3;5.03;14.84;1.56;1155.52
1103.18;1915.65;5.03;14.79;1.55;1156.11
1110.96;1909.96;5.04;14.81;1.56;1156.23
1110.21;1899.55;5.03;14.82;1.56;1155.46
1114.81;1875.43;5.03;17.25;1.56;1151.44
1122.45;1874.41;5.01;18.38;1.55;1154.06
1119.56;1868.86;5.03;17.62;1.55;1158.08
1115.26;1880.86;4.5;15.65;1.54;1158.08
1116.87;1896.44;4.27;18.45;1.54;1154.87
1119.75;1917.78;4.27;18.41;1.56;1154.9
1128.84;1926;4.27;18.32;1.55;1149.95
1130.56;1937.39;4.27;18.36;1.55;1150.42
1127.55;1961.6;4.27;18.37;1.55;1150.77
1120.36;1967.07;4.3;18.36;1.55;1150.35
1121.42;1961.57;4.3;18.23;1.55;1154.16
1124.42;1966.29;4.3;16.33;1.55;1151.84
1120.7;1989.67;4.3;16.57;1.55;1151.84
1119.34;1992.94;4.31;19.39;1.56;1156.05
1124.35;1998.81;4.31;17.01;1.57;1154.89
1118.51;1993.18;4.3;16.03;1.56;1154.79
1116.59;2006.55;4.3;17.75;1.55;1153.95
1113.07;1998.31;4.31;17.91;1.57;1156.34
1108.4;1985.79;4.3;15.37;1.56;1159.37
1109.15;1965.69;4.31;15.36;1.55;1160.25
1118.45;1947.96;4.31;15.54;1.55;1158
1116.29;1944.57;4.3;15.35;1.55;1159.71
1110.05;1937.6;4.31;15.4;1.57;1156.54
1111.07;1938.3;4.31;15.38;1.56;1153.37
1111.88;1946.69;4.31;15.36;1.55;1153.55
1110.63;1924.96;4.3;15.36;1.55;1161.21
1117.84;1914.01;4.31;15.37;1.56;1158.61
1114.43;1918.47;4.3;17.57;1.55;1159.75
1104.5;1913.77;4.3;18.03;1.57;1157.13
1111.56;1911.98;4.3;16.18;1.55;1157.87
1110.57;1938.88;4.3;16.2;1.56;1156.33
1115.52;1952.53;4.3;16.18;1.56;1154.51
1117.17;1947.13;4.3;16.42;1.54;1151.4
1118.8;1948.37;4.31;16.75;1.54;1152.68
1116.64;1936.32;4.31;18.31;1.54;1156.24
1117.95;1960.15;4.3;15.23;1.56;1157.69
1113.06;1949.32;4.3;15.94;1.56;1156.02
1117.64;1946.44;4.31;18.79;1.55;1158.74
1114.77;1968.71;4.3;16.38;1.55;1157.67
1114.49;1967.1;4.31;15.42;1.55;1154.46
1115.39;1955.52;4.31;15.44;1.56;1154.94
1114.02;1950.16;4.31;17.96;1.55;1156.09
1112.4;1948.41;4.3;16.63;1.55;1152.9
1113.76;1950.2;4.3;15.74;1.55;1154.03
1109.55;1925.97;4.3;17.85;1.55;1152.43
1112.86;1925.77;4.3;17.37;1.55;1157.89
1106.81;1924.5;4.31;16.71;1.55;1156.44
1105.62;1935.66;4.31;16.78;1.55;1158.31
1106.57;1933.45;4.31;16.81;1.56;1157.68
1105.6;1942.01;4.3;16.7;1.55;1157.96
1114.41;1953.43;4.3;16.74;1.55;1157.55
1125.61;1942.59;4.31;16.8;1.56;1158.01
1116.43;1945.76;4.3;16.82;1.55;1155.39
1108.37;1940.68;4.29;16.71;1.54;1155.76
1112.99;1932.9;4.3;16.69;1.54;1156.47
1110.64;1929.35;4.3;16.74;1.55;1156.13
1112.01;1943.37;4.3;16.73;1.57;1153.3
1107.15;1927.8;4.31;16.7;1.56;1156.78
1102.42;1925.65;4.31;16.71;1.55;1157.77
1104.4;1930.33;4.3;16.71;1.56;1153.4
1110.7;1912.94;4.3;16.71;1.55;1155.32
1110.3;1895.5;4.31;17.4;1.55;1154.68
1114.68;1921.37;4.3;18.53;1.55;1152.73
1104.44;1945.18;4.31;15.31;1.55;1146.91
1113.89;1938.52;4.31;17.64;1.55;1150.37
1116.63;1953.6;4.3;18.61;1.55;1150.78
1121.92;1981.13;4.31;18.5;1.55;1146.99
1113.13;1989.35;4.3;18.56;1.54;1150.92
1118.2;1986.39;4.31;18.56;1.54;1152.55
1123.39;1988.57;4.31;16.7;1.54;1154.56
1136.77;1982.23;4.3;16.43;1.55;1154.91
1126.31;1990.17;4.3;18.47;1.54;1158.7
1125.98;1988.27;4.3;17.85;1.55;1157.46
1121.26;1982.36;4.3;15.35;1.55;1154.42
1113.75;1984.69;4.3;15.37;1.56;1153.6
1102.75;1987.88;4.3;15.34;1.55;1159.67
1100.9;1973.24;4.3;17.51;1.55;1158.79
1091;1969.98;4.3;16.36;1.54;1159.84
1095.56;1961.38;4.3;15.41;1.54;1161.57
1113.66;1959.64;4.29;14.89;1.54;1162.86
1118.64;1931.71;4.3;14.81;1.55;1160.9
1117.33;1905.07;4.3;14.3;1.55;1160.31
1110.37;1895.63;4.31;12.24;1.55;1160.47
1119.85;1911.91;4.3;14.06;1.55;1155.53
1114.77;1926.85;4.3;17.73;1.56;1155.19
1113.63;1921.48;4.3;17.91;1.56;1156.18
1113.76;1906.98;4.3;15.29;1.56;1155.69
1127.86;1910.28;4.29;15.36;1.55;1154.96
1120.05;1926.69;4.29;17.74;1.56;1157.48
1113.09;1948.63;4.29;18.07;1.56;1157.1
1109.64;1954.65;4.29;15.27;1.57;1158.42
1112.3;1959.36;4.3;15.33;1.55;1157.39
1114.21;1953.13;4.3;17.73;1.55;1158.71
1111.81;1943.86;4.29;18.77;1.57;1157
1119.13;1943.84;4.3;18.21;1.57;1152.1
1120.39;1938.33;4.3;15.77;1.55;1155.46
1111.55;1938.22;4.3;15.79;1.55;1159.48
1106.54;1942.66;4.3;16.35;1.58;1160.31
1108.08;1919.97;4.3;18.58;1.55;1160.88
1106.9;1925.32;4.3;16.48;1.55;1154.76
1104.33;1930.09;4.29;15.64;1.56;1151.36
1108.45;1948.39;4.29;15.65;1.57;1156.05
1114.12;1966;4.3;16.32;1.54;1154.16
1110.79;1964.12;4.29;18.23;1.56;1155.96
1114.84;1971.16;4.3;15.4;1.55;1156.84
1122.52;1971.48;4.3;15.41;1.56;1156.75
1123.18;1956.63;4.3;15.43;1.56;1155.01
1120.76;1951.53;4.29;15.42;1.56;1157.75
1121.06;1968.14;4.3;17.74;1.56;1158.97
1112.88;1966.74;4.3;18.81;1.57;1157.85
1115.55;1968.95;4.3;18.05;1.56;1156.58
1109.3;1948.37;4.3;15.43;1.55;1151.73
1105.87;1933.38;4.3;17.64;1.56;1152.47
1103.36;1935.49;4.3;17.65;1.56;1154.98
1098.66;1923.28;4.29;17.66;1.56;1154.21
1106.13;1926.1;4.29;17.63;1.57;1157.51
1097.32;1917.1;4.3;17.64;1.55;1150.44
1102.08;1908.67;4.28;17.65;1.54;1149.84
1113.12;1903.65;4.15;17.65;1.54;1150.91
1112.14;1907.24;3.79;17.69;1.54;1152.25
1108.06;1914.96;3.56;17.58;1.54;1147.28
1109.49;1930.52;3.48;17.63;1.55;1145.54
1108.32;1935.38;3.47;17.62;1.55;1147.65
1113.9;1931.59;3.48;17.65;1.55;1149.53
1099.9;1918.58;3.48;17.73;1.56;1153.54
1103.77;1929.85;3.46;17.64;1.55;1150.89
1111.45;1946.7;3.45;17.76;1.55;1147.82
1110.02;1944.92;3.46;17.76;1.55;1150.39
1112;1950.5;3.46;17.81;1.55;1149.99
1103.43;1943.51;3.46;17.62;1.56;1150.14
1110.72;1936.59;3.47;17.67;1.56;1151.12
1108.62;1957.17;3.47;17.63;1.55;1148.82
1110.24;1977.75;3.48;17.64;1.55;1149.37
1112.87;1976.16;3.47;17.63;1.57;1150.24
1115.26;1978.37;3.48;17.64;1.56;1150.04
1113.61;1973.49;3.47;17.59;1.56;1149.84
1107.78;1987.28;3.47;17.81;1.57;1146.75
1102.18;2005.03;3.47;15.81;1.56;1149.85
1106.72;1986.78;3.46;15.66;1.56;1153.72
1109.1;1974.39;3.47;17.52;1.56;1154.11
1117.62;1954.02;3.47;17.46;1.55;1154.53
1118.24;1959.48;3.47;17.41;1.56;1156.33
1119.83;1975.81;3.47;17.44;1.57;1155.61
1120.65;1977.05;3.46;15.38;1.55;1155.4
1112.57;1984.09;3.47;15.11;1.56;1155.37
1115.15;1954.94;3.48;17.82;1.55;1154.89
1101.86;1952.93;3.47;17.8;1.56;1152.14
1089.47;1973.03;3.47;17.36;1.56;1153.1
1099.71;1971.38;3.46;15.42;1.55;1155.31
1112.07;1981.46;3.47;15.37;1.56;1154.72
1110.02;1979.11;3.47;17.79;1.58;1154.79
1110.33;1964.94;3.47;18.38;1.55;1148.83
1123.64;1956.43;3.48;16.21;1.54;1153.53
1128.99;1947.54;3.47;16.21;1.55;1159.1
1124.44;1948.98;3.46;16.18;1.57;1155.78
1116.88;1959.43;3.47;16.2;1.55;1160.85
1115.93;1965.28;3.48;16.24;1.55;1160.38
1115.86;1974.5;3.47;16.18;1.55;1155.03
1117.25;1957.02;3.47;16.22;1.54;1155.94
1120.13;1963.77;3.47;16.21;1.57;1156.78
1119.21;1983.6;3.47;16.2;1.54;1161.21
1117.44;1988.09;3.46;16.22;1.54;1160.99
1124.94;1965.77;3.46;16.2;1.55;1163.81
1116.46;1970.39;3.46;16.18;1.55;1162.89
1111.2;1977.97;3.46;16.23;1.54;1159.07
1111.05;1968.43;3.46;16.71;1.55;1158.7
1114.3;1970.99;3.46;18.06;1.56;1159.67
1109.9;1953.37;3.47;15.16;1.54;1162.17
1113.39;1945.53;3.46;15.15;1.55;1156.34
1114.79;1932;3.47;17.05;1.56;1151.81
1113.12;1924.2;3.47;17.61;1.57;1152.49
1119.87;1935.71;3.46;15.76;1.55;1156.12
1122.7;1951.43;3.46;14.96;1.55;1157.71
1119.85;1964.68;3.46;15.57;1.55;1159.33
1105.88;1957.25;3.46;18;1.55;1158.81
1116.01;1974.12;3.45;17.5;1.55;1156.98
1113.27;1963.72;3.47;15.36;1.54;1155.17
1116.49;1954.02;3.47;15.56;1.55;1151.41
1116.04;1977.42;3.46;15.35;1.55;1155.54
1111.58;1968.06;3.47;15.34;1.55;1158.94
1113.55;1965.51;3.46;15.95;1.55;1160.41
1122.06;1963.69;3.47;18.37;1.56;1158.39
1117.21;1981.78;3.48;16.39;1.55;1159.87
1115.24;1992.34;3.54;15.28;1.56;1156.59
1113.14;1989.3;3.54;15.24;1.55;1159.93
1109.44;1976.54;3.54;15.27;1.57;1161.9
1111.1;1968;3.54;15.26;1.55;1162.74
1106.61;1953.65;3.53;15.26;1.54;1168.03
1103.84;1944.15;3.54;15.28;1.55;1164.96
1102.83;1913.36;3.53;15.3;1.54;1160.6
1092.23;1914.94;3.53;15.29;1.55;1158.59
1102.07;1926.72;3.52;17.66;1.56;1158.47
1113.05;1916.71;3.53;18.05;1.55;1158.38
1115.8;1913.08;3.52;15.24;1.54;1157.24
1116.21;1899.71;3.5;15.29;1.56;1151.72
1118.74;1905.64;3.52;15.94;1.56;1154.25
1122.04;1932.44;3.53;18.71;1.55;1155.6
1118.1;1962.27;3.52;16.17;1.54;1156.04
1122.9;1946.97;3.52;14.85;1.55;1155.92
1119.51;1940.55;3.52;15.34;1.54;1154.73
1113.86;1942.21;3.53;17.5;1.55;1154.59
1120.55;1963.08;3.52;17.02;1.55;1159.88
1119.74;1964.48;3.52;15.01;1.56;1156.8
1119.56;1965.49;3.52;14.92;1.55;1159.68
1117.18;1967.3;3.52;14.93;1.55;1158.03
1114.98;1966.88;3.52;13.01;1.55;1154.71
1118.34;1967.68;3.52;12.8;1.55;1155.87
1112.43;1968.59;3.52;12.22;1.56;1153.03
1098.42;1950.45;3.52;12.17;1.54;1152.25
1104.92;1933.78;3.53;12.13;1.55;1149.45
1107.91;1936.22;3.52;12.2;1.54;1148.74
1112.79;1920.29;3.52;12.72;1.55;1150.58
1106.58;1913.01;3.53;14.98;1.57;1153.15
1111.15;1916.68;3.52;14.17;1.56;1154.02
1118.92;1929.17;3.52;11.93;1.57;1151.87
1122.87;1924.5;3.52;14.08;1.56;1151.16
1131;1935.71;3.51;13.78;1.54;1151.53
1130.69;1945.51;3.52;10.13;1.54;1155.24
1130.6;1948.36;3.52;11.63;1.55;1155.69
1124.28;1955.15;3.52;11.52;1.55;1157.54
1111.41;1955.56;3.52;12.1;1.56;1154.47
1113.16;1976.18;3.52;12.08;1.55;1147.71
1112.48;1988.16;3.52;12.05;1.55;1149.22
1114.64;1986.22;3.52;12.05;1.56;1154.71
1112.07;1980.84;3.52;14.36;1.56;1152.77
1115.62;1977.42;3.53;15.38;1.55;1149.73
1111.69;1948.14;3.52;15.39;1.55;1154.25
1113.51;1949.1;3.51;15.39;1.56;1153.29
1117.35;1944.09;3.51;15.44;1.55;1155.44
1113.12;1935.82;3.53;14.96;1.55;1157.96
1109.47;1943.97;3.52;12.87;1.56;1155.14
1114.91;1971;3.52;12.87;1.55;1156.45
1121.58;1958.33;3.52;12.92;1.55;1156.77
1123.81;1938.05;3.53;13.61;1.55;1153.81
1120.14;1940.48;3.52;16.15;1.55;1154.22
1120.64;1944.76;3.52;15.73;1.54;1157.03
1117.52;1943.9;3.52;13.99;1.55;1156.97
1123.36;1951.11;3.53;13.97;1.55;1156.49
1121.84;1952.98;3.52;13.95;1.55;1153.04
1113.17;1952.35;3.53;15.65;1.56;1152.55
1107.61;1942.36;3.52;16.48;1.55;1154.29
1102.18;1938.61;3.52;16.3;1.55;1156.32
1105.05;1924.73;3.52;16.02;1.55;1157.52
1114.61;1921.53;3.52;13.65;1.55;1155.92
1108.34;1920.85;3.52;14.44;1.57;1152.08
1108.32;1899.38;3.52;16.52;1.55;1153.41
1116.79;1911.73;3.52;16.01;1.56;1152.94
1124.36;1924.57;3.52;13.86;1.57;1154.4
1126.31;1944.56;3.53;13.85;1.57;1155.06
1124.1;1953.75;3.51;15.58;1.55;1157.54
1122.22;1960.8;3.52;16.27;1.56;1155.74
1119.98;1961.48;3.53;16.29;1.55;1151.95
1117.94;1968.37;3.52;16.44;1.55;1150.92
1114.1;1971.44;3.51;16.04;1.56;1151.32
1123.38;1970.74;3.52;14.19;1.57;1155.84
1128.65;1980.87;3.52;14.24;1.55;1163.22
1118.57;1974.31;3.52;14.21;1.55;1160.69
1119.15;1971.61;3.52;15.88;1.55;1155.58
